country,year,adult_literacy_rate,gdp_current_usd,internet_users_pct,gdp_per_internet_user,internet_users_pct_yoy,gdp_yoy_growth
AUS,2010,,1148838233480.72,76.0,1511629254579.8948,,
AUS,2011,,1398610616772.97,79.4877,1759530866754.1895,3.487700000000004,0.2174130143070676
AUS,2012,,1547532281116.4,79.0,1958901621666.3289,-0.4877000000000038,0.10647828820793492
AUS,2013,,1577123329410.88,83.4535,1889822870713.487,4.453500000000005,0.01912144170145047
AUS,2014,,1468265356427.76,84.0,1747934948128.286,0.5464999999999947,-0.06902312010296796
AUS,2015,,1351296372254.31,84.5605,1598023157685.101,0.5605000000000047,-0.07966474429256543
AUS,2016,,1206836962281.84,86.54,1394542364550.312,1.9795000000000016,-0.10690431273153977
AUS,2017,,1325582658156.54,86.545,1531668678902.929,0.0049999999999954525,0.09839414899107846
AUS,2018,,1427809041019.44,90.0,1586454490021.5999,3.4549999999999983,0.07711807500941803
AUS,2019,,1392723834562.64,93.6099,1487795451723.2043,3.609899999999996,-0.02457275829528971
AUS,2020,,1328414058378.38,94.6935,1402856646315.09,1.0836000000000041,-0.0461755407556842
BRA,2010,90.379997253418,2208837745100.55,40.65,5433795190899.262,,
BRA,2011,91.4100036621094,2616156223917.69,45.69,5725883615490.677,5.039999999999999,0.1844039833711726
BRA,2012,91.3399963378906,2465227802806.76,48.56,5076663514840.938,2.8700000000000045,-0.05769090535614696
BRA,2013,91.4800033569336,2472819535557.21,51.04,4844865861201.431,2.479999999999997,0.00307952585225868
BRA,2014,91.7300033569336,2456043727198.85,54.551,4502289100472.677,3.511000000000003,-0.006784081133757169
BRA,2015,92.0500030517578,1802212206814.5,58.328,3089789135260.081,3.777000000000001,-0.26621330603508986
BRA,2016,92.8099975585938,1795693482853.01,60.8725,2949925636129.6313,2.5444999999999993,-0.0036170679217694124
BRA,2017,93.0800018310547,2063514977365.65,67.4713,3058359594917.6167,6.598799999999997,0.14914655372426
BRA,2018,93.2300033569336,1916933898010.99,70.4343,2721591466105.2783,2.962999999999994,-0.07103465735043513
BRA,2019,93.9019248012051,1873288205059.69,73.9124,2534470812826.6567,3.478100000000012,-0.022768491389602352
BRA,2020,94.7576490611664,1476107231310.49,81.3427,1814676954798.0215,7.430299999999988,-0.2120234209965275
CAN,2010,,1617343367486.26,80.3,2014126235972.9268,,
CAN,2011,,1793326630174.52,83.0,2160634494186.1687,2.700000000000003,0.10881008091793154
CAN,2012,,1828366481521.6,83.0,2202851182556.145,0.0,0.019539023598657
CAN,2013,,1846597421834.98,85.8,2152211447360.1165,2.799999999999997,0.009971163056001542
CAN,2014,,1805749878439.94,87.12,2072715654774.9539,1.3200000000000074,-0.022120437791172454
CAN,2015,,1556508816217.14,90.0,1729454240241.2666,2.8799999999999955,-0.1380263486093265
CAN,2016,,1527994741907.43,91.16,1676167992439.0413,1.1599999999999966,-0.018319250114502528
CAN,2017,,1649265644244.09,92.7014,1779116220730.3125,1.54140000000001,0.07936604689180737
CAN,2018,,1725329192783.02,94.64,1823044371072.5063,1.9385999999999939,0.04611964652534328
CAN,2019,,1743725183672.52,91.9129,1897149566244.2595,-2.727100000000007,0.010662307788246839
CAN,2020,,1655684730000.19,92.3,1793807941495.3306,0.3871000000000038,-0.050489867610276185
CHN,2010,95.120002746582,6192564874453.29,34.3,18054124998406.094,,
CHN,2011,,7671757207851.29,38.3,20030697670630.004,4.0,0.2388658598475466
CHN,2012,,8673664713189.24,42.3001,20505069049929.527,4.000100000000003,0.13059687346630255
CHN,2013,,9743124247267.24,45.8,21273197046435.023,3.4998999999999967,0.12329961664897793
CHN,2014,,10674533168257.4,47.9,22285037929556.16,2.1000000000000014,0.0955965352952779
CHN,2015,,11280814787468.9,50.3,22427067171906.363,2.3999999999999986,0.05679701488158617
CHN,2016,,11456024084962.0,53.2,21533879858951.125,2.9000000000000057,0.015531617245212459
CHN,2017,,12537559062282.9,54.3,23089427370686.746,1.0999999999999943,0.09440753347757025
CHN,2018,,14147765772963.8,59.2,23898252994871.28,4.900000000000006,0.1284306381076148
CHN,2019,,14560167101283.4,64.0809,22721539649542.066,4.880899999999997,0.029149572797401824
CHN,2020,96.7399978637695,14996414166715.1,70.0528,21407301587823.9,5.971900000000005,0.029961679862399837
DEU,2010,,3468154343000.01,82.0,4229456515853.671,,
DEU,2011,,3824828563521.41,81.27,4706322829483.709,-0.730000000000004,0.1028426607487345
DEU,2012,,3597896500945.31,82.35,4369030359374.9976,1.0799999999999983,-0.05933130303941525
DEU,2013,,3808086291482.36,84.17,4524279780779.803,1.8200000000000074,0.05842018815211181
DEU,2014,,3965800686309.79,86.1937,4601033122269.713,2.023700000000005,0.04141565677757719
DEU,2015,,3423568450957.03,87.5898,3908638278608.959,1.39609999999999,-0.136727051670696
DEU,2016,,3537784107980.55,84.1652,4203381098102.957,-3.424599999999998,0.03336158124473654
DEU,2017,,3763092263752.95,84.3942,4458946543427.096,0.2289999999999992,0.06368623660899742
DEU,2018,,4052008447223.53,87.0371,4655495699217.38,2.6428999999999974,0.07677626888224154
DEU,2019,,3957208055215.68,88.1345,4489964832404.654,1.0974000000000075,-0.023395901870048585
DEU,2020,,3940142541354.1,89.8129,4387056359781.39,1.6783999999999963,-0.004312513677183993
ESP,2010,97.75,1427989078916.67,65.8,2170196168566.368,,
ESP,2011,97.7799987792969,1487568659241.25,67.09,2217273303385.3774,1.2900000000000063,0.0417227142729828
ESP,2012,97.8899993896484,1330994811670.31,69.81,1906596206374.889,2.719999999999999,-0.1052548711605702
ESP,2013,98.0800018310547,1362186923157.65,71.635,1901566166200.3906,1.8250000000000028,0.023435186383781392
ESP,2014,98.0899963378906,1380244561361.96,76.1867,1811660777224.8435,4.551699999999997,0.013256358505080224
ESP,2015,98.1399993896484,1206164777553.12,78.6896,1532813456356.5198,2.502899999999997,-0.12612241966529913
ESP,2016,98.25,1243015667917.12,80.5613,1542943904724.8743,1.8717000000000041,0.030552119453162385
ESP,2017,,1321754088818.83,84.6022,1562316451367.4941,4.0408999999999935,0.06334467290637558
ESP,2018,98.4400024414062,1431642809327.06,86.1072,1662628455375.4622,1.5050000000000097,0.08313855159429151
ESP,2019,,1403496387686.27,90.7187,1547086088850.7773,4.611499999999992,-0.01966022632001352
ESP,2020,98.5899963378906,1289783836971.21,93.2056,1383805090006.6196,2.4869000000000057,-0.08102090729461764
FRA,2010,,2646230027988.34,77.28,3424210698742.676,,
FRA,2011,,2870408553990.28,77.82,3688522942675.7646,0.539999999999992,0.08471619006317455
FRA,2012,,2683007095787.23,81.44,3294458614669.978,3.6200000000000045,-0.06528738145743573
FRA,2013,,2816077607875.26,81.9198,3437603128761.6177,0.47979999999999734,0.04959752521600591
FRA,2014,,2861236112552.42,83.7511,3416356456873.307,1.8312999999999988,0.01603595886380149
FRA,2015,,2442483452642.5,78.006,3131148184296.7207,-5.745099999999994,-0.14635375880823887
FRA,2016,,2470407619777.13,79.2698,3116454967436.691,1.2638000000000034,0.011432694499698304
FRA,2017,,2588868323334.71,80.5025,3215885622601.4224,1.2326999999999941,0.047951885595409305
FRA,2018,,2781576320884.39,82.0432,3390380093517.062,1.540700000000001,0.0744371568892519
FRA,2019,,2722793515171.76,83.3397,3267102611566.5884,1.2964999999999947,-0.021132911317687908
FRA,2020,,2647926055110.05,84.7064,3126004711698.348,1.3667000000000087,-0.02749656176443005
GBR,2010,,2485482596184.71,85.0,2924097171982.0117,,
GBR,2011,,2663805834828.07,85.38,3119941244820.883,0.37999999999999545,0.07174592126176682
GBR,2012,,2707089726614.64,87.48,3094524150222.4966,2.1000000000000085,0.01624889142468744
GBR,2013,,2784853502534.29,89.8441,3099650953745.7554,2.3640999999999934,0.028725969130287243
GBR,2014,,3064708247921.43,91.6133,3345265641475.015,1.7691999999999979,0.10049172968433173
GBR,2015,,2927911140916.73,92.0003,3182501731969.059,0.38700000000000045,-0.04463625765926649
GBR,2016,,2689106566899.61,94.7758,2837334601131.945,2.775500000000008,-0.08156141444318232
GBR,2017,,2680148052335.3,90.4246,2963958980559.825,-4.351200000000006,-0.0033314092771855597
GBR,2018,,2871340347581.79,90.692,3166034873618.1694,0.267399999999995,0.07133646780441771
GBR,2019,,2851407164907.81,92.5166,3082049237550.6777,1.8246000000000038,-0.006942117708465867
GBR,2020,,2696778386607.65,94.8182,2844156909335.602,2.3016000000000076,-0.05422893657670935
IDN,2010,92.3199996948242,755094157621.936,10.92,6914781663204.542,,
IDN,2011,92.8099975585938,892969104563.171,12.28,7271735379178.918,1.3599999999999994,0.18259305220351973
IDN,2012,,917869913332.649,14.52,6321418135899.787,2.24,0.0278854090720857
IDN,2013,,912524136718.018,14.94,6107925948581.11,0.41999999999999993,-0.005824111387659925
IDN,2014,95.120002746582,890814755533.537,17.1432,5196315480969.347,2.2032000000000007,-0.023790473381406496
IDN,2015,95.2200012207031,860854232686.214,22.0627,3901853502455.339,4.919499999999999,-0.033632719553886026
IDN,2016,95.379997253418,931877364037.698,25.4474,3661974755918.868,3.3846999999999987,0.08250308664901729
IDN,2017,,1015618744159.73,32.3358,3140849288280.265,6.888400000000001,0.08986309073888421
IDN,2018,95.6600036621094,1042271532988.63,39.9046,2611908233608.732,7.568800000000003,0.0262429075695636
IDN,2019,,1119099871350.2,47.6906,2346583753088.03,7.786000000000001,0.0737124021235338
IDN,2020,96.0,1059054842698.48,53.7265,1971196416476.934,6.035899999999998,-0.0536547543154261
IND,2010,68.3354718669705,1675615519484.96,7.5,22341540259799.47,,
IND,2011,69.3000030517578,1823051829894.55,10.07,18103791756648.957,2.5700000000000003,0.08798934403216085
IND,2012,69.8350587234791,1827637590410.41,11.1,16465203517210.9,1.0299999999999994,0.002515430686425013
IND,2013,,1856721507621.58,12.3,15095296809931.543,1.200000000000001,0.015913394079752452
IND,2014,,2039126479154.52,13.5,15104640586329.777,1.1999999999999993,0.09824035041560797
IND,2015,,2103588360044.94,14.9,14118042684865.37,1.4000000000000004,0.03161249758138962
IND,2016,,2294796885663.16,16.5,13907859913110.06,1.5999999999999996,0.09089636035737292
IND,2017,,2651474262755.45,18.2,14568539905249.727,1.6999999999999993,0.15542873503125576
IND,2018,73.6975430256976,2702929641648.74,20.0813,13459933578248.123,1.8812999999999995,0.019406327874296192
IND,2019,74.9084268267486,2835606256558.19,29.5235,9604573497580.54,9.4422,0.04908622587324141
IND,2020,75.5437727049002,2674851578587.27,43.4054,6162485724327.549,13.881900000000002,-0.05669146680683412
ITA,2010,,2144936254535.0,53.68,3995782888478.018,,
ITA,2011,98.8499984741211,2306974020278.21,54.39,4241540761680.842,0.7100000000000009,0.07554432697037794
ITA,2012,,2097929495121.68,55.83,3757710003800.2505,1.4399999999999977,-0.09061416527409372
ITA,2013,,2153225581941.46,58.4593,3683290052979.526,2.6293000000000006,0.026357457173065146
